#date,#size
07/05/2023,256915396287
08/05/2023,257041870434
09/05/2023,258052035021
10/05/2023,258509848924
10/05/2023,258669523635
10/05/2023,258706929009
10/05/2023,258654322739
10/05/2023,258661139480
10/05/2023,258705277114
10/05/2023,258662756717
10/05/2023,258684801537
10/05/2023,258703357504
10/05/2023,258691230509
10/05/2023,258656956790
10/05/2023,258666764939
10/05/2023,258684586358
10/05/2023,258701173882
10/05/2023,258708637681
11/05/2023,259003984887
12/05/2023,259462537472
13/05/2023,259928336893
13/05/2023,260116321803
14/05/2023,260373249159
15/05/2023,260840132694
16/05/2023,261306253864
17/05/2023,261765625242
18/05/2023,262232880491
19/05/2023,262698453834
20/05/2023,263161028324
21/05/2023,263649795904
22/05/2023,264177423851
23/05/2023,264714588681
24/05/2023,265237685109
25/05/2023,265761264776
26/05/2023,266283024366
27/05/2023,266786189511
28/05/2023,267278759164
29/05/2023,267774965994
29/05/2023,267923547910
30/05/2023,268290918242
31/05/2023,268836163189
31/05/2023,268842504311
31/05/2023,268913284904
01/06/2023,268966349986
02/06/2023,269802018156
03/06/2023,270282445665
04/06/2023,271174816776
05/06/2023,271653977928
06/06/2023,272136537008
07/06/2023,272624328259
07/06/2023,272786925486
08/06/2023,273115597834
09/06/2023,273623406383
10/06/2023,274124143034
11/06/2023,274631577446
12/06/2023,275181375936
13/06/2023,275680662110
14/06/2023,276182007280
15/06/2023,276747022866
16/06/2023,277286381545
17/06/2023,277886246040
18/06/2023,278451638322
19/06/2023,279145054058
20/06/2023,279647907432
21/06/2023,280187884647
22/06/2023,280824919413
23/06/2023,281468955400
24/06/2023,281871599627
25/06/2023,282567841777
26/06/2023,283123667237
27/06/2023,283744944868
28/06/2023,284330597889
29/06/2023,284913792605
30/06/2023,285491068961
01/07/2023,286067763443
02/07/2023,286652803457
03/07/2023,287235327122
04/07/2023,287808341480
05/07/2023,288379661994
06/07/2023,289013961822
07/07/2023,289698003557
08/07/2023,289909399866
09/07/2023,291075269184
10/07/2023,291470014769
11/07/2023,291062286988
12/07/2023,291650800456
13/07/2023,292200938509
14/07/2023,293707389262
15/07/2023,294234385819
16/07/2023,294730441374
17/07/2023,295298287436
18/07/2023,295854663774
19/07/2023,296456301155
20/07/2023,296972351980
21/07/2023,297563730353
22/07/2023,298016225887
23/07/2023,298624676227
24/07/2023,299104030932
25/07/2023,299703115800
26/07/2023,300237161887
27/07/2023,300738665311
28/07/2023,301298044722
29/07/2023,301971275727
31/07/2023,302028313427
01/08/2023,302526247241
02/08/2023,303119911936
03/08/2023,303660463864
04/08/2023,304151106238
05/08/2023,304686104000
06/08/2023,305277961511
07/08/2023,306778880789
08/08/2023,307288166320
09/08/2023,307880945608
10/08/2023,308405000751
11/08/2023,308965540189
12/08/2023,308569283893
13/08/2023,309092232753
14/08/2023,309690001725
15/08/2023,310352506048
16/08/2023,311796212404
17/08/2023,312338083416
18/08/2023,312846682469
19/08/2023,313423467430
20/08/2023,313015143978
21/08/2023,313568969181
22/08/2023,314121215959
23/08/2023,314627500448
24/08/2023,315232514327
25/08/2023,316790002766
26/08/2023,317302466593
27/08/2023,317859100020
28/08/2023,317427703967
29/08/2023,318137693991
30/08/2023,318608415003
31/08/2023,320088408466
01/09/2023,319681281595
02/09/2023,321271681583
03/09/2023,321819597928
04/09/2023,322378030946
05/09/2023,322923828843
06/09/2023,322471036364
07/09/2023,323086374107
08/09/2023,323619511195
09/09/2023,325112803555
10/09/2023,325632039845
11/09/2023,325221575566
12/09/2023,326740912201
13/09/2023,327350354029
14/09/2023,326860628672
15/09/2023,327510939021
16/09/2023,327986931933
17/09/2023,328592551341
18/09/2023,330152226819
19/09/2023,330791638681
20/09/2023,331386099918
21/09/2023,332078821150
22/09/2023,331646760232
23/09/2023,332344072844
24/09/2023,332915546047
09/10/2023,342741370932
10/10/2023,343310697928
11/10/2023,343988053067
12/10/2023,344713304741
13/10/2023,345329822937
14/10/2023,345919576957
15/10/2023,346577611648
16/10/2023,347241157579
17/10/2023,347953329645
18/10/2023,348581278442
19/10/2023,349128063929
20/10/2023,349832274819
21/10/2023,350392869725
22/10/2023,351065110261
23/10/2023,351759131885
24/10/2023,352413735818
25/10/2023,352993732125
26/10/2023,353617739423
27/10/2023,354278398070
28/10/2023,354906126978
29/10/2023,355534680423
30/10/2023,356217062373
31/10/2023,356820732052
01/11/2023,357460128339
02/11/2023,358055801786
03/11/2023,358623839260
04/11/2023,359224602706
05/11/2023,359828011860
06/11/2023,360429201555
07/11/2023,361420952161
08/11/2023,362225327128
09/11/2023,363034028480
10/11/2023,363742452267
11/11/2023,364199746715
12/11/2023,364705149653
13/11/2023,365197755652
14/11/2023,365705169507
15/11/2023,366273137373
16/11/2023,366804310660
17/11/2023,367373730914
18/11/2023,367859474347
19/11/2023,368330937013
20/11/2023,368878994791
21/11/2023,369350113508
